Hotel,Average_Rating
BEST WESTERN PLUS Cecil Field Inn & Suites,4.230769230769231
BEST WESTERN PLUS Charlotte/Matthews,3.7333333333333334
BEST WESTERN PLUS Columbus North,3.0638297872340425
BEST WESTERN PLUS Dallas Hotel & Conference Center,3.909090909090909
BEST WESTERN PLUS Denver Hotel,3.623853211009174
BEST WESTERN PLUS Downtown Inn & Suites Houston,4.237288135593221
BEST WESTERN PLUS Dragon Gate Inn,3.388888888888889
BEST WESTERN PLUS Eagle Rock Inn,3.689655172413793
BEST WESTERN PLUS Executive Inn,4.368932038834951
BEST WESTERN PLUS Fiesta Inn,4.382352941176471
BEST WESTERN PLUS Franklin Park Suites - Polaris,4.487179487179487
BEST WESTERN PLUS Gen X Inn,3.582089552238806
BEST WESTERN PLUS Hacienda Hotel Old Town,4.647058823529412
BEST WESTERN PLUS Hill Country Suites,3.8214285714285716
BEST WESTERN PLUS Hollywood Hills Hotel,4.036585365853658
BEST WESTERN PLUS Hospitality House,4.745152354570637
BEST WESTERN PLUS Hotel & Conference Center,3.4454545454545453
BEST WESTERN PLUS Independence Park Hotel,4.737991266375546
BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,4.252747252747253
BEST WESTERN PLUS Island Palms Hotel & Marina,4.6253561253561255
BEST WESTERN PLUS Lanai Garden Inn and Suites,3.05
BEST WESTERN PLUS Mikado Hotel,3.657142857142857
BEST WESTERN PLUS Northwest Inn & Suites,3.3333333333333335
BEST WESTERN PLUS Palo Alto Inn & Suites,3.9
BEST WESTERN PLUS Pioneer Square Hotel,4.488700564971752
BEST WESTERN PLUS Port Columbus,4.115384615384615
BEST WESTERN PLUS Posada Ana Inn - Medical Center,4.291666666666667
BEST WESTERN PLUS Queens Court Hotel,3.4651162790697674
BEST WESTERN PLUS River North Chicago Downtown Hotel,4.648960739030023
BEST WESTERN PLUS Roundhouse Suites,2.937853107344633
BEST WESTERN PLUS Royal Palace Inn & Suites,3.809090909090909
BEST WESTERN PLUS Sam Houston Inn & Suites,3.7777777777777777
BEST WESTERN PLUS San Antonio East Inn & Suites,3.875
BEST WESTERN PLUS San Diego / Miramar Hotel,3.911764705882353
BEST WESTERN PLUS Seaport Inn Downtown,4.49748743718593
BEST WESTERN PLUS Sterling Hotel & Suites,3.925
BEST WESTERN PLUS Sunset Suites - Riverwalk,4.345679012345679
BEST WESTERN PLUS Tuscan Inn at Fisherman's Wharf,4.711758584807492
BEST WESTERN PLUS Westchase Mini-Suites,4.556701030927835
BEST WESTERN Phoenix I-17 MetroCenter Inn,4.0144927536231885
BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,4.489795918367347
BEST WESTERN Plus Cabrillo Garden Inn,4.044444444444444
BEST WESTERN Plus Envy Hotel,3.048780487804878
BEST WESTERN Plus Hawthorne Terrace Hotel,4.60431654676259
BEST WESTERN Posada Ana Inn-Airport,4.5
BEST WESTERN Seven Seas,3.882562277580071
BEST WESTERN Suites,3.7857142857142856
BEST WESTERN Sunland Park Inn,3.142857142857143
BEST WESTERN The Hotel California,4.112676056338028
BEST WESTERN Travelers Inn,2.8333333333333335
BEST WESTERN University Hotel-Boston/Brighton,3.7263157894736842
BEST WESTERN Windsor Pointe Hotel & Suites,3.7142857142857144
BEST WESTERN Windsor Suites,3.5
BEST WESTERN Woodland Hills Inn,3.9393939393939394
BEST WESTERN Yacht Harbor Hotel,4.067073170731708
BLVD Hotel & Suites,3.6538461538461537
Bahia Resort Hotel,4.486943164362519
Balboa Park Inn,4.684848484848485
Baldwin Hotel,4.785
Baltimore Marriott Inner Harbor at Camden Yards,4.339805825242719
Baltimore Marriott Waterfront,4.712092130518234
Bar X Motel,3.0
Baroness Hotel,3.9166666666666665
Barton Creek Resort & Spa,4.343537414965986
Bay Bridge Inn,3.5789473684210527
Bay Club Hotel & Marina,4.664646464646465
Bay Inn and Suites,3.1785714285714284
Baymeadows Inn & Suites,2.25
Baymont Inn & Suites Austin South,3.72
Baymont Inn & Suites Dallas Love Field,3.9864864864864864
Baymont Inn & Suites Fort Worth South,3.588235294117647
Baymont Inn & Suites Houston,3.4347826086956523
Baymont Inn & Suites Houston East,3.25
Baymont Inn & Suites Indianapolis South,4.387755102040816
Baymont Inn & Suites Indianapolis West,4.242424242424242
Baymont Inn & Suites Memphis East,3.5652173913043477
Baymont Inn Austin North / Austin Highland Mall,3.3076923076923075
Baymont Inn Columbus North,3.3012048192771086
Baymont Inn Houston Hobby Airport,3.1052631578947367
Baymont Inn and Suites Charlotte-Airport,3.269230769230769
Baymont Inn and Suites Columbus at Rickenbacker,3.457627118644068
Baymont Inn and Suites Denver International Airport,4.444866920152092
Baymont Inn and Suites Houston I-45 North,3.25
Baymont Inn and Suites Indianapolis,4.346153846153846
Baymont San Antonio Wurzbach / Medical Center,3.3870967741935485
Beach Haven Inn,4.148148148148148
Beach Motel,2.526315789473684
Beachcomber Shores,3.9285714285714284
Beacon Hill Hotel and Bistro,4.825396825396825
Beacon Hotel & Corporate Quarters,4.521963824289406
Beck's Motor Lodge,4.52
Bedford Hotel,4.5955334987593055
Beekman Apartments,2.3333333333333335
Beekman Tower Hotel,3.8
Bel-Air Motel,4.0
Belair Hotel,4.75
Belcaro Motel,4.25
Belltown Inn,4.285714285714286
Bellwood Hotel,4.333333333333333
Belmont Hotel,3.769230769230769
Belnord Hotel,4.170212765957447
Beresford Arms,4.29559748427673
Best Hotel,2.0
Best Inn,1.0
Best Inn Hollywood,4.314285714285714
Best USA Inn,3.0
Best Value Inn & Suites Houston,3.0
Best Value Inn Austin South,3.5555555555555554
Best Value Inn of San Antonio/Kirby,3.0
Best West Inn Downtown,3.8
Best Western PLUS President Hotel at Times Square,4.739454094292804
Best Western Plus - North Houston Inn & Suites,3.6153846153846154
Best Western Plus Denver International Airport Inn & Suites,4.428571428571429
Beverly Garland's Holiday Inn,4.201526717557252
Beverly Hills Plaza Hotel,4.136986301369863
Beverly Inn,3.9310344827586206
Beverly Laurel Motor Hotel,4.5046728971962615
Bevonshire Lodge Motel,3.8095238095238093
Biltmore Hotel,4.0
Biltmore Suites Hotel,3.525
Blue Moon Hotel,4.337899543378995
Boston Common Hotel and Conference Center,4.402985074626866
Boston Harbor Hotel,4.788671023965142
Boston Hotel Buckminster,4.418918918918919
Boston Marriott Copley Place,4.693243243243243
