Hotel,Average_Rating
BEST WESTERN PLUS Independence Park Hotel,4.41970802919708
BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,4.264705882352941
BEST WESTERN PLUS Island Palms Hotel & Marina,4.429638854296389
BEST WESTERN PLUS Lanai Garden Inn and Suites,3.24
BEST WESTERN PLUS Mikado Hotel,3.441860465116279
BEST WESTERN PLUS Northwest Inn & Suites,3.8461538461538463
BEST WESTERN PLUS Palo Alto Inn & Suites,4.173913043478261
BEST WESTERN PLUS Pioneer Square Hotel,4.5
BEST WESTERN PLUS Port Columbus,3.857142857142857
BEST WESTERN PLUS Posada Ana Inn - Medical Center,4.5
BEST WESTERN PLUS Queens Court Hotel,3.0217391304347827
BEST WESTERN PLUS River North Chicago Downtown Hotel,4.241584158415842
BEST WESTERN PLUS Roundhouse Suites,3.9018691588785046
BEST WESTERN PLUS Royal Palace Inn & Suites,3.923076923076923
BEST WESTERN PLUS Sam Houston Inn & Suites,3.9
BEST WESTERN PLUS San Antonio East Inn & Suites,4.346153846153846
BEST WESTERN PLUS San Diego / Miramar Hotel,3.788732394366197
BEST WESTERN PLUS Seaport Inn Downtown,4.248888888888889
BEST WESTERN PLUS Sterling Hotel & Suites,3.425
BEST WESTERN PLUS Sunset Suites - Riverwalk,4.516728624535316
BEST WESTERN PLUS Tuscan Inn at Fisherman's Wharf,4.268314210061783
BEST WESTERN PLUS Westchase Mini-Suites,4.818181818181818
BEST WESTERN Phoenix I-17 MetroCenter Inn,3.9012345679012346
BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,3.759259259259259
BEST WESTERN Plus Cabrillo Garden Inn,4.275862068965517
BEST WESTERN Plus Envy Hotel,3.4150943396226414
BEST WESTERN Plus Hawthorne Terrace Hotel,4.161490683229814
BEST WESTERN Posada Ana Inn-Airport,4.170212765957447
BEST WESTERN Seven Seas,3.4747774480712166
BEST WESTERN Suites,3.4
BEST WESTERN Sunland Park Inn,3.2
BEST WESTERN The Hotel California,3.8720238095238093
BEST WESTERN Travelers Inn,3.769230769230769
BEST WESTERN University Hotel-Boston/Brighton,3.7333333333333334
BEST WESTERN Windsor Pointe Hotel & Suites,3.909090909090909
BEST WESTERN Windsor Suites,3.4375
BEST WESTERN Woodland Hills Inn,3.9577464788732395
BEST WESTERN Yacht Harbor Hotel,3.9508196721311477
BLVD Hotel & Suites,2.6019417475728157
Bahia Resort Hotel,3.981358189081225
Balboa Park Inn,4.464114832535885
Baldwin Hotel,4.108597285067873
Baltimore Marriott Inner Harbor at Camden Yards,4.185654008438819
Baltimore Marriott Waterfront,4.318936877076412
Bar X Motel,1.0
Baroness Hotel,3.5384615384615383
Barton Creek Resort & Spa,4.178041543026707
Bay Bridge Inn,3.8405797101449277
Bay Club Hotel & Marina,4.539888682745826
Bay Inn and Suites,3.1470588235294117
Baymeadows Inn & Suites,2.0434782608695654
Baymont Inn & Suites Austin South,3.8363636363636364
Baymont Inn & Suites Dallas Love Field,4.719512195121951
Baymont Inn & Suites Fort Worth South,3.5294117647058822
Baymont Inn & Suites Houston,3.627450980392157
Baymont Inn & Suites Houston East,3.9285714285714284
Baymont Inn & Suites Indianapolis South,4.433962264150943
Baymont Inn & Suites Indianapolis West,4.194444444444445
Baymont Inn & Suites Memphis East,3.5714285714285716
Baymont Inn Austin North / Austin Highland Mall,3.210526315789474
Baymont Inn Columbus North,2.9195402298850577
Baymont Inn Houston Hobby Airport,3.048780487804878
Baymont Inn and Suites Charlotte-Airport,2.69811320754717
Baymont Inn and Suites Columbus at Rickenbacker,4.161290322580645
Baymont Inn and Suites Denver International Airport,4.0817843866171
Baymont Inn and Suites Houston I-45 North,3.0833333333333335
Baymont Inn and Suites Indianapolis,4.169811320754717
Baymont San Antonio Wurzbach / Medical Center,2.8
Beach Haven Inn,3.3846153846153846
Beach Motel,2.3
Beachcomber Shores,3.2142857142857144
Beacon Hill Hotel and Bistro,4.214285714285714
Beacon Hotel & Corporate Quarters,4.0685224839400425
Beck's Motor Lodge,3.380952380952381
Bedford Hotel,3.561224489795918
Beekman Apartments,1.6666666666666667
Beekman Tower Hotel,3.825187969924812
Bel-Air Motel,1.0
Belair Hotel,2.625
Belcaro Motel,3.5
Belltown Inn,4.297029702970297
Bellwood Hotel,2.7777777777777777
Belmont Hotel,4.155172413793103
Belnord Hotel,3.0202020202020203
Beresford Arms,4.007894736842105
Best Hotel,1.0
Best Inn,2.2
Best Inn Hollywood,3.189873417721519
Best USA Inn,1.0
Best Value Inn & Suites Houston,5.0
Best Value Inn Austin South,3.125
Best Value Inn of San Antonio/Kirby,1.0
Best West Inn Downtown,3.8421052631578947
Best Western PLUS President Hotel at Times Square,3.3423728813559324
Best Western Plus - North Houston Inn & Suites,3.769230769230769
Best Western Plus Denver International Airport Inn & Suites,4.095238095238095
Beverly Garland's Holiday Inn,4.2239010989010985
Beverly Hills Plaza Hotel,3.8295454545454546
Beverly Inn,2.735294117647059
Beverly Laurel Motor Hotel,3.596774193548387
Bevonshire Lodge Motel,2.8461538461538463
Biltmore Hotel,3.0
Biltmore Suites Hotel,3.076923076923077
Blue Moon Hotel,4.378854625550661
Boston Common Hotel and Conference Center,3.5223880597014925
Boston Harbor Hotel,4.764705882352941
Boston Hotel Buckminster,3.692753623188406
Boston Marriott Copley Place,4.095744680851064
Boston Marriott Long Wharf,4.194059405940594
Box Tree Inn,4.0
Bradley Motel,1.0
Braeswood Hotel & Convention Center,
Brentwood Inn,2.3333333333333335
Brickyard Crossing Golf Resort and Inn,3.0
Bridgemont Residence Inn,4.0
Bristol Hotel,4.2894736842105265
Britt Scripps Inn,4.7384615384615385
Broadway Hotel and Hostel,3.4782608695652173
Broadway Plaza Hotel,4.114285714285714
Broadway Plaza Motel,1.5714285714285714
Broadway at Times Square Hotel,4.2376623376623375
Brookshire Suites,4.295971978984238
Brookwood Inn - Charlotte,2.375
Buckingham Athletic Club,3.9615384615384617
Buckingham Hotel,3.797169811320755
Budget Host Hempstead Inn,1.0
Budget Host Inn,2.0555555555555554
Budget Host Inn & Suites,1.5
Budget Host Inn Fort Worth,1.0
Budget Inn,2.6923076923076925
Budget Inn Capitol,1.0
Budget Inn Charlotte,3.0
Budget Inn Hollywood,1.5238095238095237
Budget Inn Motel,1.5
Budget Lodge Downtown Phoenix,4.448
Budget Lodge Inn & Suites,
Budget Lodge of Austin,3.0
Budget Lodge of Memphis,1.0
Budget Lodge of Phoenix,2.142857142857143
Budget Suites of America,2.6666666666666665
Budget Suites of America San Antonio,2.4
Budget Suites of America-Dallas,2.0833333333333335
Budgetel Inn & Suites,3.72972972972973
Buena Vista Motor Inn,3.7563291139240507
Bulfinch Hotel Boston,3.647398843930636
CLIFT San Francisco,3.880503144654088
Cabrillo Inn & Suites Airport,4.09375
Cadillac Hotel,3.615079365079365
California Suites Hotel,3.664383561643836
Cambria Suites,4.369230769230769
Camelot Inn & Suites,2.5
Cameron Motel,1.0
Camino Real El Paso,3.3392857142857144
Camino Real Motel,3.0
Candlewood Suites,3.4444444444444446
Candlewood Suites - Austin Arboretum-Northwest,2.9285714285714284
Candlewood Suites - Austin South,3.9411764705882355
