Hotel,Average_Rating
BEST WESTERN Travelers Inn,3.642857142857143
BEST WESTERN University Hotel-Boston/Brighton,3.614678899082569
BEST WESTERN Windsor Pointe Hotel & Suites,4.454545454545454
BEST WESTERN Windsor Suites,3.5
BEST WESTERN Woodland Hills Inn,3.986842105263158
BEST WESTERN Yacht Harbor Hotel,3.8404255319148937
BLVD Hotel & Suites,2.5436893203883497
Bahia Resort Hotel,3.6169354838709675
Balboa Park Inn,4.357487922705314
Baldwin Hotel,4.363499245852187
Baltimore Marriott Inner Harbor at Camden Yards,3.757575757575758
Baltimore Marriott Waterfront,3.868552412645591
Bar X Motel,1.0
Baroness Hotel,2.923076923076923
Barton Creek Resort & Spa,3.6566265060240966
Bay Bridge Inn,3.7971014492753623
Bay Club Hotel & Marina,4.369888475836431
Bay Inn and Suites,3.15625
Baymeadows Inn & Suites,2.272727272727273
Baymont Inn & Suites Austin South,3.381818181818182
Baymont Inn & Suites Dallas Love Field,4.676829268292683
Baymont Inn & Suites Fort Worth South,3.4705882352941178
Baymont Inn & Suites Houston,3.6923076923076925
Baymont Inn & Suites Houston East,3.5
Baymont Inn & Suites Indianapolis South,4.3584905660377355
Baymont Inn & Suites Indianapolis West,4.25
Baymont Inn & Suites Memphis East,3.1666666666666665
Baymont Inn Austin North / Austin Highland Mall,3.302325581395349
Baymont Inn Columbus North,2.955056179775281
Baymont Inn Houston Hobby Airport,3.261904761904762
Baymont Inn and Suites Charlotte-Airport,2.6923076923076925
Baymont Inn and Suites Columbus at Rickenbacker,4.096774193548387
Baymont Inn and Suites Denver International Airport,4.245421245421245
Baymont Inn and Suites Houston I-45 North,3.5833333333333335
Baymont Inn and Suites Indianapolis,4.2075471698113205
Baymont San Antonio Wurzbach / Medical Center,2.8378378378378377
Beach Haven Inn,3.3582089552238807
Beach Motel,2.3181818181818183
Beachcomber Shores,3.533333333333333
Beacon Hill Hotel and Bistro,3.739130434782609
Beacon Hotel & Corporate Quarters,4.034632034632034
Beck's Motor Lodge,3.6746031746031744
Bedford Hotel,3.845679012345679
Beekman Apartments,1.6666666666666667
Beekman Tower Hotel,3.6589473684210527
Bel-Air Motel,1.0
Belair Hotel,2.75
Belcaro Motel,4.0
Belltown Inn,4.245098039215686
Bellwood Hotel,4.555555555555555
Belmont Hotel,3.7948717948717947
Belnord Hotel,3.438423645320197
Beresford Arms,4.186486486486486
Best Hotel,2.0
Best Inn,2.2
Best Inn Hollywood,3.617283950617284
Best USA Inn,1.0
Best Value Inn & Suites Houston,5.0
Best Value Inn Austin South,3.5555555555555554
Best Value Inn of San Antonio/Kirby,1.0
Best West Inn Downtown,3.8333333333333335
Best Western PLUS President Hotel at Times Square,3.3777019340159273
Best Western Plus - North Houston Inn & Suites,4.0
Best Western Plus Denver International Airport Inn & Suites,4.2
Beverly Garland's Holiday Inn,4.022160664819944
Beverly Hills Plaza Hotel,3.764044943820225
Beverly Inn,3.0285714285714285
